state,lga,pin_total,year
Adamawa,Demsa,22026,2019
Adamawa,Demsa,64984,2020
Adamawa,Demsa,103565,2021
Adamawa,Demsa,69085,2022
Adamawa,Demsa,71750,2023
Adamawa,Demsa,186212,2024
Adamawa,Fufore,6021,2019
Adamawa,Fufore,74858,2020
Adamawa,Fufore,168239,2021
Adamawa,Fufore,99980,2022
Adamawa,Fufore,197634,2023
Adamawa,Fufore,457160,2024
Adamawa,Ganye,892,2019
Adamawa,Ganye,36969,2020
Adamawa,Ganye,110982,2021
Adamawa,Ganye,58724,2022
Adamawa,Ganye,173071,2023
Adamawa,Ganye,274845,2024
Adamawa,Girei,16077,2019
Adamawa,Girei,54934,2020
Adamawa,Girei,139143,2021
Adamawa,Girei,99745,2022
Adamawa,Girei,100457,2023
Adamawa,Girei,230308,2024
Adamawa,Gombi,206997,2019
Adamawa,Gombi,159871,2020
Adamawa,Gombi,68036,2021
Adamawa,Gombi,0,2022
Adamawa,Gombi,129089,2023
Adamawa,Gombi,284508,2024
Adamawa,Guyuk,6402,2019
Adamawa,Guyuk,115189,2020
Adamawa,Guyuk,75398,2021
Adamawa,Guyuk,82832,2022
Adamawa,Guyuk,85153,2023
Adamawa,Guyuk,150585,2024
Adamawa,Hong,272088,2019
Adamawa,Hong,247744,2020
Adamawa,Hong,84094,2021
Adamawa,Hong,243062,2022
Adamawa,Hong,164064,2023
Adamawa,Hong,275970,2024
Adamawa,Jada,466,2019
Adamawa,Jada,20938,2020
Adamawa,Jada,156001,2021
Adamawa,Jada,67999,2022
Adamawa,Jada,95192,2023
Adamawa,Jada,368972,2024
Adamawa,Lamurde,20545,2019
Adamawa,Lamurde,81110,2020
Adamawa,Lamurde,30285,2021
Adamawa,Lamurde,78434,2022
Adamawa,Lamurde,73792,2023
Adamawa,Lamurde,114922,2024
Adamawa,Madagali,166712,2019
Adamawa,Madagali,122971,2020
Adamawa,Madagali,114202,2021
Adamawa,Madagali,128433,2022
Adamawa,Madagali,116005,2023
Adamawa,Madagali,160086,2024
Adamawa,Maiha,110154,2019
Adamawa,Maiha,104531,2020
Adamawa,Maiha,20175,2021
Adamawa,Maiha,94183,2022
Adamawa,Maiha,91189,2023
Adamawa,Maiha,180469,2024
Adamawa,Mayo-Belwa,1826,2019
Adamawa,Mayo-Belwa,92596,2020
Adamawa,Mayo-Belwa,120962,2021
Adamawa,Mayo-Belwa,197335,2022
Adamawa,Mayo-Belwa,151645,2023
Adamawa,Mayo-Belwa,293438,2024
Adamawa,Michika,229885,2019
Adamawa,Michika,156781,2020
Adamawa,Michika,187782,2021
Adamawa,Michika,216331,2022
Adamawa,Michika,155056,2023
Adamawa,Michika,223199,2024
Adamawa,Mubi North,195347,2019
Adamawa,Mubi North,161428,2020
Adamawa,Mubi North,130145,2021
Adamawa,Mubi North,169003,2022
Adamawa,Mubi North,143913,2023
Adamawa,Mubi North,244372,2024
Adamawa,Mubi South,202314,2019
Adamawa,Mubi South,161131,2020
Adamawa,Mubi South,140674,2021
Adamawa,Mubi South,170740,2022
Adamawa,Mubi South,120015,2023
Adamawa,Mubi South,226029,2024
Adamawa,Numan,144946,2019
Adamawa,Numan,78690,2020
Adamawa,Numan,27421,2021
Adamawa,Numan,81716,2022
